"county","trap","sample_num","sample_date","mosq_count","temp"
"Norman","D",15,2017-08-21,284,57.7953436456975
"Norman","D",16,2017-08-28,270,58.4620103123642
"Clay","E",1,2017-05-15,137,48.4620103123642
"Clay","E",2,2017-05-22,145,49.1286769790308
"Clay","E",3,2017-05-29,168,49.7953436456975
"Clay","E",4,2017-06-05,169,50.4620103123642
"Clay","E",5,2017-06-12,174,51.1286769790308
"Clay","E",6,2017-06-19,197,51.7953436456975
"Clay","E",7,2017-06-26,203,52.4620103123642
"Clay","E",8,2017-07-03,219,53.1286769790308
"Clay","E",9,2017-07-10,247,53.7953436456975
"Clay","E",10,2017-07-17,218,54.4620103123642
"Clay","E",11,2017-07-24,237,55.1286769790308
"Clay","E",12,2017-07-31,NA,55.7953436456975
"Clay","E",13,2017-08-07,265,56.4620103123642
"Clay","E",14,2017-08-14,277,57.1286769790308
"Clay","E",15,2017-08-21,271,57.7953436456975
"Clay","E",16,2017-08-28,273,58.4620103123642
"Clay","F",1,2017-05-15,140,48.4620103123642
"Clay","F",2,2017-05-22,145,49.1286769790308
"Clay","F",3,2017-05-29,153,49.7953436456975
"Clay","F",4,2017-06-05,NA,50.4620103123642
"Clay","F",5,2017-06-12,187,51.1286769790308
"Clay","F",6,2017-06-19,226,51.7953436456975
"Clay","F",7,2017-06-26,215,52.4620103123642
"Clay","F",8,2017-07-03,217,53.1286769790308
"Clay","F",9,2017-07-10,219,53.7953436456975
"Clay","F",10,2017-07-17,243,54.4620103123642
"Clay","F",11,2017-07-24,254,55.1286769790308
"Clay","F",12,2017-07-31,237,55.7953436456975
"Clay","F",13,2017-08-07,270,56.4620103123642
"Clay","F",14,2017-08-14,263,57.1286769790308
"Clay","F",15,2017-08-21,292,57.7953436456975
"Clay","F",16,2017-08-28,292,58.4620103123642
"Clay","G",1,2017-05-15,153,48.4620103123642
"Clay","G",2,2017-05-22,160,49.1286769790308
"Clay","G",3,2017-05-29,176,49.7953436456975
"Clay","G",4,2017-06-05,182,50.4620103123642
"Clay","G",5,2017-06-12,176,51.1286769790308
"Clay","G",6,2017-06-19,173,51.7953436456975
"Clay","G",7,2017-06-26,188,52.4620103123642
"Clay","G",8,2017-07-03,219,53.1286769790308
"Clay","G",9,2017-07-10,235,53.7953436456975
"Clay","G",10,2017-07-17,223,54.4620103123642
"Clay","G",11,2017-07-24,237,55.1286769790308
"Clay","G",12,2017-07-31,263,55.7953436456975
"Clay","G",13,2017-08-07,255,56.4620103123642
"Clay","G",14,2017-08-14,249,57.1286769790308
"Clay","G",15,2017-08-21,281,57.7953436456975
"Clay","G",16,2017-08-28,305,58.4620103123642
"Clay","H",1,2017-05-15,171,48.4620103123642
"Clay","H",2,2017-05-22,143,49.1286769790308
"Clay","H",3,2017-05-29,169,49.7953436456975
"Clay","H",4,2017-06-05,182,50.4620103123642
"Clay","H",5,2017-06-12,162,51.1286769790308
"Clay","H",6,2017-06-19,208,51.7953436456975
"Clay","H",7,2017-06-26,223,52.4620103123642
"Clay","H",8,2017-07-03,213,53.1286769790308
"Clay","H",9,2017-07-10,NA,53.7953436456975
"Clay","H",10,2017-07-17,253,54.4620103123642
"Clay","H",11,2017-07-24,270,55.1286769790308
"Clay","H",12,2017-07-31,250,55.7953436456975
"Clay","H",13,2017-08-07,246,56.4620103123642
"Clay","H",14,2017-08-14,267,57.1286769790308
"Clay","H",15,2017-08-21,NA,57.7953436456975
"Clay","H",16,2017-08-28,298,58.4620103123642
"Clay","I",1,2017-05-15,138,48.4620103123642
"Clay","I",2,2017-05-22,125,49.1286769790308
"Clay","I",3,2017-05-29,159,49.7953436456975
"Clay","I",4,2017-06-05,NA,50.4620103123642
"Clay","I",5,2017-06-12,NA,51.1286769790308
"Clay","I",6,2017-06-19,194,51.7953436456975
"Clay","I",7,2017-06-26,234,52.4620103123642
"Clay","I",8,2017-07-03,NA,53.1286769790308
"Clay","I",9,2017-07-10,216,53.7953436456975
"Clay","I",10,2017-07-17,234,54.4620103123642
"Clay","I",11,2017-07-24,232,55.1286769790308
"Clay","I",12,2017-07-31,254,55.7953436456975
"Clay","I",13,2017-08-07,245,56.4620103123642
"Clay","I",14,2017-08-14,280,57.1286769790308
"Clay","I",15,2017-08-21,268,57.7953436456975
"Clay","I",16,2017-08-28,304,58.4620103123642
"Clay","J",1,2017-05-15,135,48.4620103123642
"Clay","J",2,2017-05-22,174,49.1286769790308
"Clay","J",3,2017-05-29,166,49.7953436456975
"Clay","J",4,2017-06-05,171,50.4620103123642
"Clay","J",5,2017-06-12,192,51.1286769790308
"Clay","J",6,2017-06-19,198,51.7953436456975
"Clay","J",7,2017-06-26,195,52.4620103123642
"Clay","J",8,2017-07-03,196,53.1286769790308
"Clay","J",9,2017-07-10,217,53.7953436456975
"Clay","J",10,2017-07-17,255,54.4620103123642
"Clay","J",11,2017-07-24,238,55.1286769790308
"Clay","J",12,2017-07-31,251,55.7953436456975
"Clay","J",13,2017-08-07,256,56.4620103123642
"Clay","J",14,2017-08-14,273,57.1286769790308
"Clay","J",15,2017-08-21,293,57.7953436456975
"Clay","J",16,2017-08-28,284,58.4620103123642
"Clay","K",1,2017-05-15,142,48.4620103123642
"Clay","K",2,2017-05-22,142,49.1286769790308
"Clay","K",3,2017-05-29,142,49.7953436456975
"Clay","K",4,2017-06-05,179,50.4620103123642
"Clay","K",5,2017-06-12,185,51.1286769790308
"Clay","K",6,2017-06-19,207,51.7953436456975
"Clay","K",7,2017-06-26,207,52.4620103123642
"Clay","K",8,2017-07-03,219,53.1286769790308
"Clay","K",9,2017-07-10,217,53.7953436456975
"Clay","K",10,2017-07-17,219,54.4620103123642
"Clay","K",11,2017-07-24,247,55.1286769790308
"Clay","K",12,2017-07-31,254,55.7953436456975
"Clay","K",13,2017-08-07,239,56.4620103123642
"Clay","K",14,2017-08-14,257,57.1286769790308
"Clay","K",15,2017-08-21,285,57.7953436456975
"Clay","K",16,2017-08-28,304,58.4620103123642
"Wilkin","L",1,2017-05-15,191,48.4620103123642
"Wilkin","L",2,2017-05-22,225,49.1286769790308
"Wilkin","L",3,2017-05-29,195,49.7953436456975
"Wilkin","L",4,2017-06-05,182,50.4620103123642
"Wilkin","L",5,2017-06-12,204,51.1286769790308
"Wilkin","L",6,2017-06-19,213,51.7953436456975
"Wilkin","L",7,2017-06-26,225,52.4620103123642
"Wilkin","L",8,2017-07-03,225,53.1286769790308
"Wilkin","L",9,2017-07-10,246,53.7953436456975
"Wilkin","L",10,2017-07-17,249,54.4620103123642
"Wilkin","L",11,2017-07-24,271,55.1286769790308
"Wilkin","L",12,2017-07-31,300,55.7953436456975
"Wilkin","L",13,2017-08-07,297,56.4620103123642
"Wilkin","L",14,2017-08-14,316,57.1286769790308
"Wilkin","L",15,2017-08-21,306,57.7953436456975
"Wilkin","L",16,2017-08-28,315,58.4620103123642
"Wilkin","M",1,2017-05-15,NA,48.4620103123642
"Wilkin","M",2,2017-05-22,184,49.1286769790308
"Wilkin","M",3,2017-05-29,200,49.7953436456975
"Wilkin","M",4,2017-06-05,189,50.4620103123642
"Wilkin","M",5,2017-06-12,216,51.1286769790308
"Wilkin","M",6,2017-06-19,215,51.7953436456975
"Wilkin","M",7,2017-06-26,250,52.4620103123642
"Wilkin","M",8,2017-07-03,249,53.1286769790308
"Wilkin","M",9,2017-07-10,260,53.7953436456975
"Wilkin","M",10,2017-07-17,264,54.4620103123642
"Wilkin","M",11,2017-07-24,276,55.1286769790308
"Wilkin","M",12,2017-07-31,278,55.7953436456975
"Wilkin","M",13,2017-08-07,NA,56.4620103123642
"Wilkin","M",14,2017-08-14,295,57.1286769790308
"Wilkin","M",15,2017-08-21,303,57.7953436456975
"Wilkin","M",16,2017-08-28,333,58.4620103123642
